"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 09:44:25 GMT 2022","Fri Oct 14 09:44:32 GMT 2022","7397","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 09:48:11 GMT 2022","Fri Oct 14 09:48:20 GMT 2022","8617","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 09:46:01 GMT 2022","Fri Oct 14 09:46:10 GMT 2022","9081","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Fri Oct 14 09:44:54 GMT 2022","Fri Oct 14 09:44:56 GMT 2022","2435","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Fri Oct 14 09:45:57 GMT 2022","Fri Oct 14 09:46:02 GMT 2022","4830","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Fri Oct 14 09:47:04 GMT 2022","Fri Oct 14 09:47:09 GMT 2022","5070","","Main page test","","Main page test","Test if unexisting page send 404 error","Test if unexisting page send 404 error",""
"passed","Fri Oct 14 09:45:36 GMT 2022","Fri Oct 14 09:45:46 GMT 2022","9560","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"passed","Fri Oct 14 09:46:56 GMT 2022","Fri Oct 14 09:47:03 GMT 2022","6467","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Fri Oct 14 09:46:22 GMT 2022","Fri Oct 14 09:46:31 GMT 2022","8431","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Fri Oct 14 09:47:09 GMT 2022","Fri Oct 14 09:47:15 GMT 2022","5827","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 09:46:54 GMT 2022","Fri Oct 14 09:46:58 GMT 2022","4654","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
