"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 09:28:32 GMT 2022","Fri Oct 14 09:28:37 GMT 2022","4976","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Fri Oct 14 09:28:49 GMT 2022","Fri Oct 14 09:28:54 GMT 2022","4312","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Fri Oct 14 09:29:02 GMT 2022","Fri Oct 14 09:29:07 GMT 2022","5451","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Fri Oct 14 09:27:55 GMT 2022","Fri Oct 14 09:27:57 GMT 2022","1426","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Fri Oct 14 09:28:10 GMT 2022","Fri Oct 14 09:28:11 GMT 2022","494","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Fri Oct 14 09:29:29 GMT 2022","Fri Oct 14 09:29:35 GMT 2022","5974","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Fri Oct 14 09:27:42 GMT 2022","Fri Oct 14 09:27:51 GMT 2022","8940","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"passed","Fri Oct 14 09:27:52 GMT 2022","Fri Oct 14 09:27:54 GMT 2022","1804","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"passed","Fri Oct 14 09:27:57 GMT 2022","Fri Oct 14 09:27:59 GMT 2022","2010","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Fri Oct 14 09:29:34 GMT 2022","Fri Oct 14 09:29:40 GMT 2022","6403","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 09:28:19 GMT 2022","Fri Oct 14 09:28:25 GMT 2022","6124","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Fri Oct 14 09:28:20 GMT 2022","Fri Oct 14 09:28:26 GMT 2022","5973","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Fri Oct 14 09:28:26 GMT 2022","Fri Oct 14 09:28:27 GMT 2022","1037","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Fri Oct 14 09:28:15 GMT 2022","Fri Oct 14 09:28:20 GMT 2022","5115","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Fri Oct 14 09:27:34 GMT 2022","Fri Oct 14 09:27:52 GMT 2022","17713","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 09:28:44 GMT 2022","Fri Oct 14 09:28:49 GMT 2022","4295","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 09:27:59 GMT 2022","Fri Oct 14 09:28:01 GMT 2022","2212","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Fri Oct 14 09:28:25 GMT 2022","Fri Oct 14 09:28:30 GMT 2022","4882","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Fri Oct 14 09:27:17 GMT 2022","Fri Oct 14 09:27:19 GMT 2022","1768","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Fri Oct 14 09:28:07 GMT 2022","Fri Oct 14 09:28:10 GMT 2022","3762","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Fri Oct 14 09:29:18 GMT 2022","Fri Oct 14 09:29:27 GMT 2022","9260","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Fri Oct 14 09:27:54 GMT 2022","Fri Oct 14 09:27:55 GMT 2022","1273","","Login page test","","Login page test","Test login with an invalid email","Test login with an invalid email",""
"passed","Fri Oct 14 09:26:48 GMT 2022","Fri Oct 14 09:26:55 GMT 2022","7124","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 09:27:32 GMT 2022","Fri Oct 14 09:27:42 GMT 2022","9784","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 09:29:47 GMT 2022","Fri Oct 14 09:29:52 GMT 2022","5331","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 09:28:01 GMT 2022","Fri Oct 14 09:28:03 GMT 2022","1360","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Fri Oct 14 09:26:57 GMT 2022","Fri Oct 14 09:27:05 GMT 2022","8448","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
"passed","Fri Oct 14 09:28:42 GMT 2022","Fri Oct 14 09:28:44 GMT 2022","2590","","Main page test","","Main page test","Test if unexisting page send 404 error","Test if unexisting page send 404 error",""
"passed","Fri Oct 14 09:27:57 GMT 2022","Fri Oct 14 09:27:57 GMT 2022","637","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Fri Oct 14 09:26:50 GMT 2022","Fri Oct 14 09:26:57 GMT 2022","6606","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 09:28:37 GMT 2022","Fri Oct 14 09:28:42 GMT 2022","4734","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Fri Oct 14 09:27:19 GMT 2022","Fri Oct 14 09:27:21 GMT 2022","1795","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Fri Oct 14 09:29:17 GMT 2022","Fri Oct 14 09:29:29 GMT 2022","11896","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Fri Oct 14 09:29:04 GMT 2022","Fri Oct 14 09:29:18 GMT 2022","13782","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Fri Oct 14 09:28:03 GMT 2022","Fri Oct 14 09:28:04 GMT 2022","1013","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Fri Oct 14 09:28:33 GMT 2022","Fri Oct 14 09:28:41 GMT 2022","7689","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 09:28:11 GMT 2022","Fri Oct 14 09:28:15 GMT 2022","4018","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"failed","Fri Oct 14 09:27:51 GMT 2022","Fri Oct 14 09:28:07 GMT 2022","15954","","Login page test","","Login page test","Test login with an invalid email","Test login with an invalid email",""
"passed","Fri Oct 14 09:28:30 GMT 2022","Fri Oct 14 09:28:33 GMT 2022","2691","","Main page test","","Main page test","Test if unexisting page send 404 error","Test if unexisting page send 404 error",""
"passed","Fri Oct 14 09:26:55 GMT 2022","Fri Oct 14 09:27:03 GMT 2022","8234","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
