"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 10:30:25 GMT 2022","Fri Oct 14 10:30:32 GMT 2022","6637","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 10:32:32 GMT 2022","Fri Oct 14 10:32:40 GMT 2022","7367","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Fri Oct 14 10:31:33 GMT 2022","Fri Oct 14 10:31:42 GMT 2022","8482","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Fri Oct 14 10:32:23 GMT 2022","Fri Oct 14 10:32:32 GMT 2022","9123","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Fri Oct 14 10:32:51 GMT 2022","Fri Oct 14 10:32:57 GMT 2022","5650","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 10:30:55 GMT 2022","Fri Oct 14 10:30:57 GMT 2022","2097","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Fri Oct 14 10:33:53 GMT 2022","Fri Oct 14 10:34:00 GMT 2022","7097","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 10:32:38 GMT 2022","Fri Oct 14 10:32:42 GMT 2022","4543","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Fri Oct 14 10:32:42 GMT 2022","Fri Oct 14 10:32:47 GMT 2022","4444","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Fri Oct 14 10:31:49 GMT 2022","Fri Oct 14 10:32:00 GMT 2022","10258","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
