"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 11:00:08 GMT 2022","Tue Oct 25 11:00:13 GMT 2022","5513","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Tue Oct 25 11:01:14 GMT 2022","Tue Oct 25 11:01:18 GMT 2022","3787","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Tue Oct 25 11:00:23 GMT 2022","Tue Oct 25 11:00:34 GMT 2022","10980","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Tue Oct 25 11:02:23 GMT 2022","Tue Oct 25 11:02:33 GMT 2022","10209","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Tue Oct 25 11:00:25 GMT 2022","Tue Oct 25 11:00:36 GMT 2022","11168","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Tue Oct 25 10:58:51 GMT 2022","Tue Oct 25 10:59:01 GMT 2022","10065","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
"failed","Tue Oct 25 11:01:29 GMT 2022","Tue Oct 25 11:01:32 GMT 2022","3075","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Tue Oct 25 10:59:29 GMT 2022","Tue Oct 25 10:59:52 GMT 2022","23547","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"failed","Tue Oct 25 11:01:41 GMT 2022","Tue Oct 25 11:01:49 GMT 2022","7314","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Tue Oct 25 11:01:32 GMT 2022","Tue Oct 25 11:01:36 GMT 2022","3996","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Tue Oct 25 10:58:42 GMT 2022","Tue Oct 25 10:58:51 GMT 2022","8840","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Tue Oct 25 11:00:53 GMT 2022","Tue Oct 25 11:01:01 GMT 2022","7722","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Tue Oct 25 11:00:05 GMT 2022","Tue Oct 25 11:00:14 GMT 2022","8928","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Tue Oct 25 11:01:21 GMT 2022","Tue Oct 25 11:01:27 GMT 2022","5558","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"failed","Tue Oct 25 11:02:13 GMT 2022","Tue Oct 25 11:02:38 GMT 2022","25292","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Tue Oct 25 11:00:13 GMT 2022","Tue Oct 25 11:00:25 GMT 2022","11736","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
