"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 14 10:59:36 GMT 2022","Fri Oct 14 11:00:16 GMT 2022","39829","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 11:01:25 GMT 2022","Fri Oct 14 11:01:32 GMT 2022","6358","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Fri Oct 14 11:00:24 GMT 2022","Fri Oct 14 11:00:34 GMT 2022","9876","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Fri Oct 14 11:01:45 GMT 2022","Fri Oct 14 11:02:00 GMT 2022","14993","","Login page test","","Login page test","Test login with an invalid email","Test login with an invalid email",""
"passed","Fri Oct 14 11:02:24 GMT 2022","Fri Oct 14 11:02:32 GMT 2022","7794","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 11:00:34 GMT 2022","Fri Oct 14 11:00:43 GMT 2022","9547","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Fri Oct 14 11:02:39 GMT 2022","Fri Oct 14 11:02:46 GMT 2022","7312","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Fri Oct 14 10:59:39 GMT 2022","Fri Oct 14 11:00:12 GMT 2022","33050","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 11:00:58 GMT 2022","Fri Oct 14 11:01:18 GMT 2022","19867","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Fri Oct 14 11:03:10 GMT 2022","Fri Oct 14 11:03:21 GMT 2022","10605","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
