"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 10:17:46 GMT 2022","Fri Oct 14 10:17:55 GMT 2022","9444","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Fri Oct 14 10:16:02 GMT 2022","Fri Oct 14 10:16:16 GMT 2022","13568","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Fri Oct 14 10:16:54 GMT 2022","Fri Oct 14 10:16:58 GMT 2022","3874","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Fri Oct 14 10:18:34 GMT 2022","Fri Oct 14 10:18:41 GMT 2022","6897","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 10:15:40 GMT 2022","Fri Oct 14 10:15:48 GMT 2022","8229","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Fri Oct 14 10:16:16 GMT 2022","Fri Oct 14 10:16:22 GMT 2022","6548","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Fri Oct 14 10:18:02 GMT 2022","Fri Oct 14 10:18:11 GMT 2022","8871","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 10:15:30 GMT 2022","Fri Oct 14 10:15:36 GMT 2022","6020","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"failed","Fri Oct 14 10:14:50 GMT 2022","Fri Oct 14 10:15:31 GMT 2022","40824","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 10:15:36 GMT 2022","Fri Oct 14 10:15:49 GMT 2022","13020","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Fri Oct 14 10:17:35 GMT 2022","Fri Oct 14 10:17:42 GMT 2022","6989","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Fri Oct 14 10:14:47 GMT 2022","Fri Oct 14 10:15:06 GMT 2022","18588","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 10:17:10 GMT 2022","Fri Oct 14 10:17:14 GMT 2022","3811","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
