"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 25 11:02:15 GMT 2022","Tue Oct 25 11:02:46 GMT 2022","31193","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Tue Oct 25 10:58:42 GMT 2022","Tue Oct 25 10:58:53 GMT 2022","11470","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
"passed","Tue Oct 25 10:59:55 GMT 2022","Tue Oct 25 11:00:06 GMT 2022","11381","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"passed","Tue Oct 25 11:00:59 GMT 2022","Tue Oct 25 11:01:06 GMT 2022","6694","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Tue Oct 25 10:58:28 GMT 2022","Tue Oct 25 10:58:42 GMT 2022","13411","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Tue Oct 25 11:02:46 GMT 2022","Tue Oct 25 11:02:58 GMT 2022","11157","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Tue Oct 25 11:01:21 GMT 2022","Tue Oct 25 11:01:24 GMT 2022","3114","","Main page test","","Main page test","Test if unexisting page send 404 error","Test if unexisting page send 404 error",""
"passed","Tue Oct 25 10:58:58 GMT 2022","Tue Oct 25 10:59:00 GMT 2022","2542","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Tue Oct 25 10:59:15 GMT 2022","Tue Oct 25 10:59:19 GMT 2022","3970","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Tue Oct 25 10:58:48 GMT 2022","Tue Oct 25 10:58:58 GMT 2022","10055","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
"passed","Tue Oct 25 10:59:39 GMT 2022","Tue Oct 25 10:59:51 GMT 2022","12377","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Tue Oct 25 11:00:11 GMT 2022","Tue Oct 25 11:00:24 GMT 2022","12465","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Tue Oct 25 10:58:31 GMT 2022","Tue Oct 25 10:58:48 GMT 2022","17012","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Tue Oct 25 11:01:34 GMT 2022","Tue Oct 25 11:01:38 GMT 2022","4186","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"failed","Tue Oct 25 11:01:30 GMT 2022","Tue Oct 25 11:01:34 GMT 2022","3639","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Tue Oct 25 11:00:25 GMT 2022","Tue Oct 25 11:00:37 GMT 2022","12023","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Tue Oct 25 11:01:38 GMT 2022","Tue Oct 25 11:01:43 GMT 2022","4705","","Main page test","","Main page test","Test if unexisting page send 404 error","Test if unexisting page send 404 error",""
"passed","Tue Oct 25 11:01:57 GMT 2022","Tue Oct 25 11:02:14 GMT 2022","16819","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Tue Oct 25 11:01:24 GMT 2022","Tue Oct 25 11:01:31 GMT 2022","6601","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"failed","Tue Oct 25 11:02:00 GMT 2022","Tue Oct 25 11:02:09 GMT 2022","8430","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Tue Oct 25 11:00:45 GMT 2022","Tue Oct 25 11:00:58 GMT 2022","13100","","Login page test","","Login page test","Test login with an invalid email","Test login with an invalid email",""
"passed","Tue Oct 25 11:00:37 GMT 2022","Tue Oct 25 11:00:49 GMT 2022","12125","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Tue Oct 25 10:59:30 GMT 2022","Tue Oct 25 10:59:55 GMT 2022","24787","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Tue Oct 25 11:01:17 GMT 2022","Tue Oct 25 11:01:21 GMT 2022","3966","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Tue Oct 25 11:03:14 GMT 2022","Tue Oct 25 11:03:21 GMT 2022","7475","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Tue Oct 25 11:02:14 GMT 2022","Tue Oct 25 11:02:23 GMT 2022","9097","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Tue Oct 25 10:59:51 GMT 2022","Tue Oct 25 10:59:58 GMT 2022","6388","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Tue Oct 25 10:59:12 GMT 2022","Tue Oct 25 10:59:27 GMT 2022","14750","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Tue Oct 25 11:00:49 GMT 2022","Tue Oct 25 11:00:59 GMT 2022","10659","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Tue Oct 25 10:59:27 GMT 2022","Tue Oct 25 10:59:39 GMT 2022","11877","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"failed","Tue Oct 25 11:01:42 GMT 2022","Tue Oct 25 11:01:51 GMT 2022","8346","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Tue Oct 25 11:00:24 GMT 2022","Tue Oct 25 11:00:37 GMT 2022","13699","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"failed","Tue Oct 25 11:01:13 GMT 2022","Tue Oct 25 11:01:17 GMT 2022","4846","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Tue Oct 25 11:00:37 GMT 2022","Tue Oct 25 11:00:45 GMT 2022","7483","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Tue Oct 25 11:00:16 GMT 2022","Tue Oct 25 11:00:25 GMT 2022","8217","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Tue Oct 25 11:01:43 GMT 2022","Tue Oct 25 11:01:52 GMT 2022","9098","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Tue Oct 25 10:59:58 GMT 2022","Tue Oct 25 11:00:11 GMT 2022","13443","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Tue Oct 25 11:01:06 GMT 2022","Tue Oct 25 11:01:15 GMT 2022","8566","","Login page test","","Login page test","Test login with an invalid email","Test login with an invalid email",""
"passed","Tue Oct 25 11:02:28 GMT 2022","Tue Oct 25 11:02:38 GMT 2022","10167","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Tue Oct 25 11:00:06 GMT 2022","Tue Oct 25 11:00:16 GMT 2022","10185","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
